seq_len,batch_size,n_iters,tokens_per_s,peak_mem_mb,posenc_type
32,1,30,9565.86733566628,22.619140625,alibi
64,1,30,22233.31873762793,22.9345703125,alibi
128,1,30,42343.42798703365,23.572265625,alibi
256,1,30,94390.45999308457,25.37109375,alibi
