step,train_loss
1,4.334095001220703
2,4.333312511444092
3,4.337005138397217
4,4.3172760009765625
5,4.296868324279785
6,4.27787446975708
7,4.236462116241455
8,4.2226338386535645
9,4.178221225738525
10,4.140109062194824
11,4.107678413391113
12,4.036736488342285
13,4.012997627258301
14,3.933108329772949
15,3.8902242183685303
16,3.827962875366211
17,3.7931556701660156
18,3.7013323307037354
19,3.6536099910736084
20,3.6331868171691895
21,3.547574281692505
22,3.4877312183380127
23,3.46044659614563
24,3.4170985221862793
25,3.3397514820098877
26,3.3071248531341553
27,3.2693638801574707
28,3.2477245330810547
29,3.234173536300659
30,3.136767864227295
31,3.1131420135498047
32,3.0991244316101074
33,3.0636277198791504
34,3.0463011264801025
35,3.0278921127319336
36,3.0078794956207275
37,3.0046603679656982
38,3.000610828399658
39,2.9106624126434326
40,2.949275493621826
41,2.9309566020965576
42,2.8740925788879395
43,2.8757710456848145
44,2.8285608291625977
45,2.8478035926818848
46,2.8509886264801025
47,2.832857131958008
48,2.7946202754974365
49,2.791062831878662
50,2.769911289215088
51,2.7878687381744385
52,2.7714638710021973
53,2.7639713287353516
54,2.7523112297058105
55,2.711949348449707
56,2.716994285583496
57,2.7070772647857666
58,2.7024714946746826
59,2.701094388961792
60,2.6728923320770264
61,2.656928300857544
62,2.6210851669311523
63,2.6486761569976807
64,2.637509346008301
65,2.6447508335113525
66,2.641587734222412
67,2.6359310150146484
68,2.620840549468994
69,2.6293022632598877
70,2.6173229217529297
71,2.60848069190979
72,2.5919253826141357
73,2.6164722442626953
74,2.608302354812622
75,2.593250274658203
76,2.59344220161438
77,2.5706377029418945
78,2.5615973472595215
79,2.5807111263275146
80,2.5968375205993652
81,2.5970330238342285
82,2.5680363178253174
83,2.534698963165283
84,2.5578560829162598
85,2.561345100402832
86,2.581516981124878
87,2.5839271545410156
88,2.5584490299224854
89,2.543281316757202
90,2.5167531967163086
91,2.540689706802368
92,2.542263984680176
93,2.553493022918701
94,2.5369274616241455
95,2.546391487121582
96,2.5613584518432617
97,2.5549001693725586
98,2.506411552429199
99,2.5324790477752686
100,2.5221705436706543
101,2.5657103061676025
102,2.5182511806488037
103,2.524015426635742
104,2.53904390335083
105,2.570032835006714
106,2.5395264625549316
107,2.530501365661621
108,2.5423080921173096
109,2.5519649982452393
110,2.4986228942871094
111,2.5278661251068115
112,2.5053822994232178
113,2.514281988143921
114,2.514439105987549
115,2.5377602577209473
116,2.510749578475952
117,2.5236756801605225
118,2.5123348236083984
119,2.5173068046569824
120,2.499387741088867
121,2.5025525093078613
122,2.4908077716827393
123,2.4992311000823975
124,2.5191433429718018
125,2.505533456802368
126,2.510287046432495
127,2.495789051055908
128,2.5233359336853027
129,2.526026964187622
130,2.5167644023895264
131,2.5316274166107178
132,2.5161240100860596
133,2.5097031593322754
134,2.5148658752441406
135,2.52935528755188
136,2.519972801208496
137,2.4888734817504883
138,2.5053844451904297
139,2.5224483013153076
140,2.5291237831115723
141,2.5303046703338623
142,2.464698076248169
143,2.4892418384552
144,2.515162944793701
145,2.5496785640716553
146,2.5079715251922607
147,2.5012598037719727
148,2.4992263317108154
149,2.489382028579712
150,2.4997072219848633
151,2.5136301517486572
152,2.499500274658203
153,2.5200414657592773
154,2.507477283477783
155,2.496988296508789
156,2.499793291091919
157,2.492687940597534
158,2.501631498336792
159,2.4911227226257324
160,2.4900057315826416
161,2.488992929458618
162,2.5029406547546387
163,2.5304160118103027
164,2.477760076522827
165,2.484370708465576
166,2.4878807067871094
167,2.48891282081604
168,2.482545852661133
169,2.4910953044891357
170,2.506476640701294
171,2.4796764850616455
172,2.5028867721557617
173,2.4828548431396484
174,2.5151002407073975
