seq_len,batch_size,n_iters,tokens_per_s,peak_mem_mb,posenc_type
32,1,30,7098.099561231092,21.619140625,rope
64,1,30,13980.042497048817,21.9345703125,rope
128,1,30,26871.760948996445,22.572265625,rope
256,1,30,56210.86537035324,24.37109375,rope
